PID,cond,axlab,closebound,cbside,sno,FaceLeft,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,AlShift,ZAlShift,t1dist,Exp1,Exp2,ExpShift,AlExShift,ZAlExShift,sjnum,KnowClose,KnowFar,TrustClose,TrustFar,AccClose,AccFar,AttClose,AttFar,ZKnowClose,ZKnowFar,ZTrustClose,ZTrustFar,ZAccClose,ZAccFar,ZAttClose,ZAttFar,Outlier
none_R_pass_15,none,R,NA,control,15,1,-30.22759236,0.167930979,180.0000964,-3.624630682,0.023198814,156.2420691,-23.75802733,-23.75802733,-0.37648452,NA,150,131,-19,-19,-0.038113122,15,84,24,85,61,87,21,73,19,1.52313675,-1.079402984,1.336751803,0.16953487,1.473876805,-1.019904756,1.422259315,-0.826617971,0
none_R_pass_16,none,R,NA,control,16,2,-11.93766339,0.079584423,150,-7.237973836,0.046660391,155.1203003,5.120300331,5.120300331,-0.227719336,NA,225,191,-34,-34,-0.227464941,16,99,99,99,99,99,99,35,42,2.111778037,2.173952303,1.869592877,1.964977916,2.47893517,1.975434882,-0.026325413,-0.032099603,0
none_R_pass_17,none,R,NA,control,17,1,-29.35351506,0.189377516,155.0000002,-15.39505964,0.10617313,144.9995836,-10.00041657,-10.00041657,-0.305612913,NA,155,160,5,5,0.264849787,17,39,35,50,59,39,59,1,1,-0.429309909,-0.611363101,-0.233813478,0.080058133,-0.532355503,0.684658285,-1.955606559,-1.726947099,0
none_R_pass_18,none,R,NA,control,18,2,-15.06043467,0.088583587,170.0138274,-11.37092765,0.066851957,170.0911709,0.077343483,0.077343483,-0.253697863,NA,139,131,-8,-8,0.100744878,18,25,28,59,38,27,35,35,27,-1.036853904,-0.906574647,0.080058133,-0.772293003,-0.750763223,-0.699541529,-0.026325413,-0.73582166,0
none_R_pass_19,none,R,NA,control,19,1,-15.09597459,0.091487123,165.0065511,-830.5001102,4.051358275,204.9930058,39.98645463,39.98645463,-0.048108178,NA,190,229,39,39,0.694047242,19,65,13,72,22,76,12,22,68,0.698770383,-1.547442867,0.753398984,-1.575261505,1.014115235,-1.423617055,-0.970395679,1.624277988,0
two15_R_165_11,two15,R,165,right,11,1,-28.54961494,0.167938894,170.000018,-9.627885209,0.087597654,109.9103085,-60.08970941,-60.08970941,-1.643857599,-5.000018,52,55,3,3,0.239602878,11,64,54,58,58,54,56,50,50,0.655382679,0.197069424,0.125172872,0.035319765,0.094592093,0.550087519,0.343218828,0.72394886,0
two15_R_165_110,two15,R,165,right,110,2,-8.784493561,0.05003812,175.5560276,-8.384042787,0.050730534,165.2662043,-10.28982331,-10.28982331,0.231121424,-10.5560276,206,156,-50,-50,-0.429440213,110,93,28,68,39,76,28,19,22,1.856483555,-0.906574647,0.482703451,-0.727419709,1.447225961,-0.992117074,-0.826617971,-0.970395679,0
two15_R_165_12,two15,R,165,right,12,2,-27.45973984,0.189377516,144.9999998,-5.004918015,0.038838044,128.8663777,-16.13362216,-16.13362216,0.011100835,20.0000002,35,157,122,122,1.741793969,12,19,88,35,76,30,76,6,98,-1.292148385,1.696687564,-0.993662713,0.932892159,-0.616192457,1.014115235,-1.476855675,2.59512941,0
two15_R_165_13,two15,R,165,right,13,1,-13.52112356,0.073020988,185.1676348,-12.19260209,0.101615809,119.9872558,-65.18037896,-65.18037896,-1.835522668,-20.1676348,210,80,-130,-130,-1.439316578,13,57,32,58,56,95,96,10,50,0.351668755,-0.739010342,0.125172872,-0.054156973,1.808248857,2.344364404,-1.533373324,0.72394886,0
two15_R_165_14,two15,R,165,right,14,2,-26.87049098,0.167940565,160.0000032,-427.9322752,4.075346828,105.0051182,-54.99488506,-54.99488506,-1.4520361,4.9999968,115,141,26,26,0.529942332,14,50,50,55,51,50,50,70,63,0.026873103,0.04795483,-0.098895341,-0.188940184,0.280945986,-0.072593932,1.724314558,0.953111277,0
two15_R_165_15,two15,R,165,right,15,1,-31.24726177,0.189377343,165.0000012,-683.3294465,4.141441473,164.9979726,-0.002028623,-0.002028623,0.618459644,-1.20E-06,151,115,-36,-36,-0.25271185,15,95,28,93,32,85,16,28,15,2.000401489,-0.909206663,1.695738153,-1.127877819,1.390283793,-1.244189366,-0.688906856,-1.026691111,0
two15_R_165_16,two15,R,165,right,16,2,-13.52112356,0.073020988,185.1676348,-268.7040016,2.066953858,130,-55.16763481,-55.16763481,-1.458540174,-20.1676348,244,144,-100,-100,-1.060612941,16,30,68,59,68,58,68,18,42,-0.824108502,0.828933494,0.080058133,0.573905809,0.639801363,0.679743183,-0.876636256,-0.032099603,0
two15_R_165_17,two15,R,165,right,17,1,-21.61512276,0.131000588,165.0001959,-5.091900321,0.071473393,71.24190018,-93.75829574,-93.75829574,-2.911488874,-0.0001959,134,45,-89,-89,-0.921754941,17,24,99,59,99,50,93,53,22,-1.080125461,2.111778037,0.170046166,1.869592877,-0.072593932,2.209793637,0.483963239,-0.676563117,1
two15_R_165_18,two15,R,165,right,18,2,-14.19460574,0.088713617,160.004813,-10.904086,0.072693907,150,-10.00481301,-10.00481301,0.241852138,4.995187,27,135,108,108,1.565065606,18,68,38,67,52,62,30,64,21,0.792756548,-0.472697612,0.437965082,-0.14406689,0.819229051,-0.908524061,1.424204848,-1.017310482,0
two15_R_165_19,two15,R,165,right,19,1,-29.35351506,0.189377516,155.0000002,-16.2991194,0.101868592,160.0014198,5.001419675,5.001419675,0.80684081,9.9999998,294,NA,NA,NA,NA,19,73,30,76,42,62,50,70,78,1.045872011,-0.824108502,0.932892159,-0.680494133,0.428964145,0.280945986,1.281514904,2.124460837,0
two15_R_135_11,two15,R,135,left,11,1,-21.61512276,0.131000588,165.0001959,-13.82469978,0.072580023,190.4752741,25.47507817,-25.47507817,-0.34060748,-30.0001959,250,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
two15_R_135_110,two15,R,135,left,110,2,-13.48981412,0.079337524,170.0306927,-758.493767,4.100055217,184.9959883,14.96529561,-14.96529561,0.055088642,-35.0306927,198,189,-9,9,0.315343605,110,82,25,81,28,75,58,68,32,1.388443672,-1.036737758,1.064302242,-1.22102594,1.402369039,0.261778119,1.624277988,-0.501247641,0
two15_R_135_12,two15,R,135,left,12,2,-12.72563689,0.079529607,160.011313,-15.28301111,0.101886741,150,-10.01131298,10.01131298,0.995464632,-25.011313,50,75,25,-25,-0.11385385,12,89,8,81,18,86,25,54,60,1.686287234,-1.774328718,1.064302242,-1.669758878,1.895795182,-1.117506593,0.924022,0.812366866,0
two15_R_135_13,two15,R,135,left,13,1,-4.466548316,0.029776989,150,-11.15204344,0.064484487,172.9414915,22.94149151,-22.94149151,-0.245217265,-15,243,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
two15_R_135_14,two15,R,135,left,14,2,-5.310108795,0.038082468,139.4370956,-27.45973984,0.189377516,144.9999998,5.562904284,-5.562904284,0.409091189,-4.4370956,150,159,9,-9,0.088121423,14,70,72,68,63,58,59,34,34,0.877854709,1.002484308,0.482703451,0.349539341,0.639801363,0.303574626,-0.076343698,-0.407418033,0
two15_R_135_15,two15,R,135,left,15,1,-17.30618288,0.101798398,170.0044722,-5.541024142,0.034458887,160.8010174,-9.203454837,9.203454837,0.965048557,-35.0044722,61,205,144,-144,-1.616044941,15,65,82,72,85,87,98,61,27,0.698770383,1.388443672,0.753398984,1.243255717,1.473876805,2.434078248,0.85928167,-0.426471692,0
two15_R_135_16,two15,R,135,left,16,2,-3.188054133,0.021253694,150,-4.399062044,0.026216964,167.7944849,17.79448491,-17.79448491,-0.051431091,-15,154,164,10,-10,0.075497969,16,36,73,25,85,27,72,50,56,-0.568814021,1.045872011,-1.441046399,1.336751803,-0.750763223,0.846929209,0.72394886,0.624707651,0
two15_R_135_17,two15,R,135,left,17,1,-6.331151154,0.039448062,160.49334,-11.62084952,0.072620528,160.0215499,-0.47179011,0.47179011,0.636299046,-25.49334,215,230,15,-15,0.012380696,17,72,75,73,76,68,72,33,32,1.002484308,1.09060011,0.798272278,0.840610399,0.679743183,1.267798273,-0.454332837,-0.176380268,0
two15_R_135_18,two15,R,135,left,18,2,-721.5460447,4.123193088,174.9969088,-35.03350835,0.189370261,185.0000532,10.00314438,-10.00314438,0.241914962,-39.9969088,220,226,6,-6,0.125991787,18,61,44,61,42,44,32,35,62,0.494912986,-0.212371391,0.16953487,-0.592799828,0.011804453,-0.824931048,-0.026325413,0.906196473,0
two15_R_135_19,two15,R,135,left,19,1,-16.65141107,0.087597654,190.0896915,-20.94200789,0.123187749,170.0007357,-20.08895577,20.08895577,1.374890577,-55.0896915,150,260,110,-110,-1.186847487,19,75,78,67,62,67,68,76,59,1.132647418,1.218247351,0.529032516,0.214273239,0.637946677,1.088370584,1.563003727,1.174113424,0
