Oord,Sord,AxLab,FarSource,SID,ExperimentName,Phase,Subject,Pic,Trial,Question,Rating,FaceDist
12185,H,SP-C,C,SP-C_C8,SP-C_Ctrl_Final1,Rating,8,Adam.bmp,NA,Trust,59,Far
12186,H,SP-C,C,SP-C_C8,SP-C_Ctrl_Final1,Rating,8,Mark.bmp,NA,Trust,38,Close
12205,H,SP-C,C,SP-C_C8,SP-C_Ctrl_Final1,Rating,8,Adam.bmp,NA,Attract,15,Far
12206,H,SP-C,C,SP-C_C8,SP-C_Ctrl_Final1,Rating,8,Mark.bmp,NA,Attract,4,Close
12147,H,SP-C,C,SP-C_C9,SP-C_Ctrl_Final1,Rating,9,Adam.bmp,NA,Know,27,Close
12148,H,SP-C,C,SP-C_C9,SP-C_Ctrl_Final1,Rating,9,Mark.bmp,NA,Know,27,Far
12167,H,SP-C,C,SP-C_C9,SP-C_Ctrl_Final1,Rating,9,Adam.bmp,NA,Acc,35,Close
12168,H,SP-C,C,SP-C_C9,SP-C_Ctrl_Final1,Rating,9,Mark.bmp,NA,Acc,65,Far
12187,H,SP-C,C,SP-C_C9,SP-C_Ctrl_Final1,Rating,9,Adam.bmp,NA,Trust,19,Close
12188,H,SP-C,C,SP-C_C9,SP-C_Ctrl_Final1,Rating,9,Mark.bmp,NA,Trust,35,Far
12207,H,SP-C,C,SP-C_C9,SP-C_Ctrl_Final1,Rating,9,Adam.bmp,NA,Attract,27,Close
12208,H,SP-C,C,SP-C_C9,SP-C_Ctrl_Final1,Rating,9,Mark.bmp,NA,Attract,35,Far
8061,H,SP-C,L,SP-C_L1,SP-C_LB_Final1,Rating,1,Adam.bmp,2,Know,73,Close
8062,H,SP-C,L,SP-C_L1,SP-C_LB_Final1,Rating,1,Mark.bmp,1,Know,28,Far
8081,H,SP-C,L,SP-C_L1,SP-C_LB_Final1,Rating,1,Adam.bmp,1,Acc,64,Close
8082,H,SP-C,L,SP-C_L1,SP-C_LB_Final1,Rating,1,Mark.bmp,2,Acc,28,Far
8101,H,SP-C,L,SP-C_L1,SP-C_LB_Final1,Rating,1,Adam.bmp,2,Trust,73,Close
8102,H,SP-C,L,SP-C_L1,SP-C_LB_Final1,Rating,1,Mark.bmp,1,Trust,33,Far
8121,H,SP-C,L,SP-C_L1,SP-C_LB_Final1,Rating,1,Adam.bmp,2,Attract,50,Close
8122,H,SP-C,L,SP-C_L1,SP-C_LB_Final1,Rating,1,Mark.bmp,1,Attract,50,Far
8079,H,SP-C,L,SP-C_L10,SP-C_LB_Final1,Rating,10,Adam.bmp,1,Know,62,Far
8080,H,SP-C,L,SP-C_L10,SP-C_LB_Final1,Rating,10,Mark.bmp,2,Know,70,Close
8099,H,SP-C,L,SP-C_L10,SP-C_LB_Final1,Rating,10,Adam.bmp,1,Acc,70,Far
8100,H,SP-C,L,SP-C_L10,SP-C_LB_Final1,Rating,10,Mark.bmp,2,Acc,73,Close
8119,H,SP-C,L,SP-C_L10,SP-C_LB_Final1,Rating,10,Adam.bmp,1,Trust,78,Far
8120,H,SP-C,L,SP-C_L10,SP-C_LB_Final1,Rating,10,Mark.bmp,2,Trust,72,Close
8139,H,SP-C,L,SP-C_L10,SP-C_LB_Final1,Rating,10,Adam.bmp,1,Attract,72,Far
8140,H,SP-C,L,SP-C_L10,SP-C_LB_Final1,Rating,10,Mark.bmp,2,Attract,48,Close
8063,H,SP-C,L,SP-C_L2,SP-C_LB_Final1,Rating,2,Adam.bmp,2,Know,50,Far
8064,H,SP-C,L,SP-C_L2,SP-C_LB_Final1,Rating,2,Mark.bmp,1,Know,99,Close
8083,H,SP-C,L,SP-C_L2,SP-C_LB_Final1,Rating,2,Adam.bmp,1,Acc,50,Far
8084,H,SP-C,L,SP-C_L2,SP-C_LB_Final1,Rating,2,Mark.bmp,2,Acc,99,Close
8103,H,SP-C,L,SP-C_L2,SP-C_LB_Final1,Rating,2,Adam.bmp,2,Trust,50,Far
8104,H,SP-C,L,SP-C_L2,SP-C_LB_Final1,Rating,2,Mark.bmp,1,Trust,98,Close
8123,H,SP-C,L,SP-C_L2,SP-C_LB_Final1,Rating,2,Adam.bmp,1,Attract,96,Far
8124,H,SP-C,L,SP-C_L2,SP-C_LB_Final1,Rating,2,Mark.bmp,2,Attract,24,Close
8065,H,SP-C,L,SP-C_L3,SP-C_LB_Final1,Rating,3,Adam.bmp,2,Know,55,Close
