axlab,farsource,sno,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,closepos,Zclosepos,cond
SP-R,L,SP-R_L7,-30.2275923613445,0.167930978698925,180.000096441634,-16.2991194023074,0.101868592289686,160.001419828765,-19.9986766128687,-19.9986766128687,-0.74675944881369,E
SP-R,L,SP-R_L8,-12.7969860500141,0.0654311446099632,195.579431267744,-16.4568793673605,0.10617313003232,155.000416417514,-40.5790148502299,-40.5790148502299,-1.5022168452109,E
SP-R,L,SP-R_L9,-15.283011112271,0.101886740748473,150,-14.2182727046045,0.0812286985157685,175.040016206149,25.0400162061487,25.0400162061487,0.90650850148757,E
SP-R,R,SP-R_R1,-35.0335083454477,0.189370260960197,185.00005316469,-9.21221663507237,0.0737415653161587,124.925699577654,-60.0743535870363,60.0743535870363,2.19253932357675,E
SP-R,R,SP-R_R2,-29.3535150612383,0.189377516336099,155.000000153888,-8.78449356073265,0.0500381199083958,175.556027620828,20.5560274669402,-20.5560274669402,-0.767218530692736,E
SP-R,R,SP-R_R3,-18.4824177381831,0.123216118254554,150,-12.6185501855502,0.0627926341193829,200.955898132247,50.9558981322474,-50.9558981322474,-1.88312862307078,E
SP-R,R,SP-R_R4,-9.29810476484337,0.0514677765221784,180.658761523079,-5.91819079725439,0.0356296050981231,166.103182478611,-14.555579044468,14.555579044468,0.521648665390481,E
SP-R,R,SP-R_R5,-16.4568793673605,0.10617313003232,155.000416417514,-6.24598863677272,0.0308709300162695,202.325897972008,47.3254815544931,-47.3254815544931,-1.74986428970386,E
SP-R,R,SP-R_R6,-10.0319932426384,0.0626785582785354,160.054626624587,-17.3061828815675,0.101798397751512,170.00447220998,9.94984558539332,-9.94984558539332,-0.377889722898754,E
SP-R,R,SP-R_R7,-11.9376633871622,0.0795844225810812,150,-351.382155938842,2.06695385846377,170,20,-20,-0.746808027344574,E
SP-R,R,SP-R_R8,-15.3950596423355,0.10617313003232,144.999583582486,-3.66726087125913,0.0288620181876574,127.061830791424,-17.9377527910615,17.9377527910615,0.645800569178248,E
SP-R,R,SP-R_R9,-9.89053910512216,0.063800306900026,155.023378188767,-23.6720354711464,0.189376295885704,124.999992002343,-30.0233861864239,30.0233861864239,1.08943667629028,E
SP-R,C,SP-R_C1,-15.3950596423355,0.10617313003232,144.999583582486,-17.3061828815675,0.101798397751512,170.00447220998,25.0048886274946,25.0048886274946,0.905219047990465,C
SP-R,C,SP-R_C2,-290.397895167276,2.07427067976626,140,-8.26360642215514,0.0473086637055533,174.674272636137,34.6742726361369,34.6742726361369,1.2601601370865,C
SP-R,C,SP-R_C3,-6.83511739506648,0.0507305339407168,134.733795687109,-6.16478136824589,0.0410985424549726,150,15.266204312891,15.266204312891,0.547734102320878,C
SP-R,C,SP-R_C4,-21.6151227587832,0.131000588444159,165.000195918944,-370.142293049818,2.05634607249899,180,14.9998040810557,14.9998040810557,0.537955155871078,C
SP-R,C,SP-R_C5,-30.2275923613444,0.167930978698925,180.000096441634,-3.62463068161339,0.0231988138804548,156.242069111437,-23.7580273301966,-23.7580273301966,-0.884756661119016,C
SP-R,C,SP-R_C6,-11.9376633871622,0.0795844225810813,150,-7.23797383600389,0.0466603908100135,155.120300330845,5.12030033084486,5.12030033084486,0.175301049084747,C
SP-R,C,SP-R_C7,-29.3535150612383,0.189377516336099,155.000000153888,-15.3950596423355,0.10617313003232,144.999583582486,-10.0004165714024,-10.0004165714024,-0.379746068746089,C
SP-R,C,SP-R_C8,-15.0604346729849,0.0885835869900022,170.013827445085,-11.3709276536216,0.0668519570507964,170.091170928348,0.0773434832632063,0.0773434832632063,-0.00981442405657384,C
SP-R,C,SP-R_C9,-15.0959745910515,0.0914871227035227,165.006551140232,-830.500110233388,4.05135827490896,204.993005772132,39.9864546319002,39.9864546319002,1.45515825293001,C
SP-R,C,SP-R_C10,-28.5496149443973,0.167938893701524,170.000017953781,-758.493767015075,4.10005521692759,184.995988318289,14.9959703645075,14.9959703645075,0.537814428858304,C
